id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,gas,furnished,imgs,number_of_rooms,number_of_bathrooms
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.365754513876176,4.941419235184398,Private room,59,3,248,2018-11-28,2.1,1,44,yes,no,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",7,4
3209,"Quiet apt near center, great view",3806,Maartje,,Westerpark,52.39022505041117,4.8739240947428595,Entire home/apt,160,4,42,2018-08-29,1.03,1,47,no,yes,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",3,6
20168,100%Centre-Studio 1 Private Floor/Bathroom,59484,Alex,,Centrum-Oost,52.365087026809164,4.893541007841009,Entire home/apt,80,1,233,2018-11-30,2.18,2,198,yes,yes,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",9,10
25428,Lovely apt in City Centre (Jordaan),56142,Joan,,Centrum-West,52.37311440038617,4.883668196205626,Entire home/apt,125,14,1,2018-01-21,0.09,2,141,no,yes,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",10,10
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38672731612469,4.8920780700893385,Private room,150,2,171,2018-11-25,2.03,1,199,no,yes,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",7,2
28658,Cosy guest room near city centre -1,123414,Michele,,Bos en Lommer,52.37534217754822,4.857289350245441,Private room,65,3,434,2018-11-19,4.16,2,295,yes,no,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",1,1
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36718680818601,4.8909177971296565,Private room,75,2,215,2018-12-03,2.13,3,137,yes,yes,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",9,2
29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36772541044574,4.891511737154662,Private room,55,2,383,2018-12-05,4.07,3,188,yes,no,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",1,4
31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.351320541867395,4.84838289937379,Entire home/apt,219,3,32,2017-10-16,0.36,1,336,no,yes,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",7,10
41125,Amsterdam Center Entire Apartment,178515,Fatih,,Centrum-West,52.3789147700269,4.883205056499364,Entire home/apt,180,3,76,2018-10-07,0.78,1,11,yes,no,"['https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/12/apartment-building-what-makes-good-apartment-building-scaled.jpg', 'https://www.phillyaptrentals.com/wp-content/uploads/2020/02/ambassador-2-thumbnail-image.jpg']",10,4
